"","AlignID","Factor","tmean","FoundIn","4_Blanco","15_QC1_4","21_Qc2_2","28_Qc3_3","34_Qc1_2","41_Qc2_4","44_Qc2_5","45_Qc3_2","7_Qc1_5","8_Qc2_3","10_RIG003_1","11_Sample_FIED001_2","12_Sample_RGY001_3","13_Sample_RIG003_3","14_Sample_RYTA006_2","16_Sample_RYMG001_3","17_Sample_RGY001_1","18_Sample_FIED001_1","19_Sample_RYMG001_2","20_Sample_ER001_1","22_Sample_ATA001_2","23_RIG003_2","25_Sample_RYTA006_3","26_Sample_RYTA006_1","27_Sample_RIG005_3","29_Sample_RGB004_1","30_Sample_RGB004_3","31_Sample_FIED001_3","32_Sample_ATA001_3","33_Sample_ATA001_1","35_Sample_RGY001_2","36_Sample_RGB004_2","37_Sample_RIG005_1","38_Sample_ER001_2","40_Sample_RYMG001_1","42_Sample_RIG005_2","43_Sample_ER001_3"
"68",69,"Factor #69",8.0378,37,110.8007,23196.01,19676.3,16185.01,23235,25584.38,27822.14,19633.48,17911.33,15278.32,11260.39,906.488,5598.063,12458.07,6199,506.5634,5928.475,897.2613,446.1406,12722,23053,13063.3,6209.517,7303.455,8328.98,14262.05,13599.6,1006.584,24941.92,22890.83,6208.04,15073,6992.068,15509.99,518.0067,8830.205,15346
"69",68,"Factor #68",8.0378,37,110.8007,23196,19676,16185,23235,25584,27822,19633,17911,15278,11260,906,5598,12458,6199,507,5928,897,446.1406,12722,23053,13063,6210,7303,8329,14262,13600,1007,24942,22891,6208,15073,6992,15510,518,8830,15346
"70",70,"Factor #70",8.1158,37,110.8007,14209.89,4952,3094.659,5171,5048,25182.98,4066.593,2751,3762,2086.878,125.8586,1117.205,7633.963,4254.725,173.7328,4566.221,232.3623,73.2434,9123.748,15618.67,9387.716,1109,1201,4675.476,2300.732,1787,103.0739,13393.25,4616,960,2633.961,1208.316,3477,518.0067,8334.007,14471.26
"71",71,"Factor #71",8.1386,37,49.8195,3095.773,4492.025,2399.25,3784.826,2282,3593.591,3124.939,2319.132,3761.99,1783.808,125.8586,1117.205,1427.422,1190.55,173.7328,956.1093,107.4622,73.2434,1143,3234.968,1764.003,1353.355,1265.72,333.5712,2297.977,1602.483,103.0739,3685.927,2868.937,1295.817,2061.376,1188.207,1556,68.2816,1281.104,1300
"72",72,"Factor #72",8.3538,37,46.40254,716,580,685,565,657.1785,822,699,687,483,199.4719,1500,776,246.937,55.95724,3255,953,1648,3212.365,73.29437,46.83008,263.5391,71.1766,52.1058,195.7098,103.6385,82.19226,1631,64.47912,45.67117,732,88.82061,142.2365,77.63243,2893,211.4916,54.73099
"73",73,"Factor #73",8.358,37,35.17651,716.2592,542.0631,648.3539,564.6696,657,821.8134,699.0326,686.8946,540.4517,160.3341,1527.287,745.9193,246.937,42.54964,3216,935.3416,1502,3212,67.88033,45.6996,187.9311,16.65719,54.20961,162.4462,85.48686,45.81631,1674.319,61.63955,51.90407,732.4628,46.97698,95.41913,16.21076,2893,211.4916,21.6492
"74",75,"Factor #75",8.4715,37,51.40577,1407.935,2397.593,2016.909,1104,1422.665,2362.378,976,1514.875,1223.991,800.6583,1566,1078.865,913.4796,170.6162,2855.68,991.5106,1261.321,6735.203,136.3215,140.9624,678.0671,158.262,128.0308,1153.232,356.8126,340.707,1569.991,173.1864,157.2353,728.1092,335.8042,1007.186,99.39564,2644,1203.858,86.36147
"75",74,"Factor #74",8.4746,37,53.1686,1868,2398,2122,1752,2770,2362,2167,1755,2150,801,2633,1570,913,170.6162,14062,1979,2615,14583,162.761,190.8955,985,158.262,128.0308,1225,356.8126,344.4422,3132,173.1864,166.1308,1861,398.3035,1007,102.2809,14785,1204,85.62463
"76",81,"Factor #81",8.5572,37,18.59661,34630.18,26883.53,21344.79,30562.12,33847.2,39384.96,27403.76,27593.23,19189.01,52743.04,2075.079,34535.62,62718.2,1573.852,6166.215,37597.33,2031.617,6449.92,3906.083,14949,66784.36,1359.746,1630.525,21857.71,2781.212,2711.775,2022.841,17333.28,14667,37251.51,2953.508,17115,4513.573,6498.054,23379,4472.184
"77",76,"Factor #76",8.5574,37,72.28165,34630,26884,21345,30562,33847,39385,27404,27593,19189,52743,2075,45674,62718,1574,6200,49070,2011,6450,3972,14949,66784,1371,1631,21858,2884,2712,2028,17333,14667,49198,2954,17115,4514,6498,23379,4570
"78",79,"Factor #79",8.56,37,66.58207,34630.18,26883.53,8039,30656.06,33847.2,39384.96,27403.76,27593.23,19189.01,52743.04,2075.079,47328.1,32497,1573.852,6166.215,51914.56,2031.617,6449.92,3972.325,14948.95,66784.36,1359.746,1630.525,21857.71,2883.621,2711.775,2022.841,17333.28,14667,51431.04,2954,17114.62,4513.573,6498.054,23378.81,4570
"79",77,"Factor #77",8.5642,37,54.55759,34630,26884,8142,30562,33847,14047,10139,22786.99,16323,36846.24,1729.911,61083,50499.24,1254.463,5189.111,68384,2032,5206.794,3236.778,12493.48,44896,1115.699,1322.539,17721.34,2251.885,2164.751,1772.112,13990.73,11973.74,65753,2420.108,13883.75,3690.795,5161.424,18733.03,3557.167
"80",78,"Factor #78",8.5878,37,48.51958,13214.29,11785.14,8141.71,10438.32,11850.19,14046.8,10139,12547,9586.278,36846.24,666.3589,61083.22,40989,447.4305,1891.183,68384,694.2035,1948.123,1270.741,667.8908,44896.31,358.0152,503.657,1048.982,799.5097,281.4475,678.427,4911.137,986.5921,65752.96,905.8918,5052.987,1408.278,1813.342,6652.321,1481.987
"84",82,"Factor #82",8.8585,37,34.70285,12011,9031,7226,10945,11115,14098,9659,9873,6138,17878,834,6551,22744,555,2241,7641.413,807,2280,1347,5446,22919,519,645,7713,1468,1213,884,6015,5130,6255,1377,6115,1580,2069,8362,1742
"85",83,"Factor #83",8.8614,37,18.72808,12011.08,9031.289,1622,10945.14,11115,14097.79,9365,9872.763,6138,17878.11,834.0284,6550.862,3007,593.6881,2260.981,7641.413,831.9783,2280.084,1369.44,5446.288,22919.48,519.1045,644.6591,7713.293,1468.262,1213.037,876.613,6015,5129.934,6255.442,1377.236,6114.911,1580.166,2069.003,8361.946,1742.259
"87",87,"Factor #87",8.9128,37,14.3881,676.8703,737.8875,702.94,696.1864,762.858,782.3294,656.93,716.1474,871.659,1388.186,150.7404,482.4856,1396.026,96.51409,848,546.692,136.2613,909,163.0159,280.8815,1222,95.54239,100.7297,1810,110.822,209.5054,142.437,283.7437,334.4324,495.9711,284.4417,1488,255.2319,1040,1951,158.2074
